番号,単語,意味,解説文
176,habit,習慣，癖,
232,hide,を隠す；隠れる,
337,host,を主催する；のホスト役を務める,
424,handle,を処理する，扱う；を論じる,
448,harm,害，損害,
462,humanity,人類；人間性；人文科学,
515,hate,をひどく嫌う；を残念に思う,
530,hang,を掛ける；を絞首刑にする；垂れ（下が）る,
569,hypothesis,仮説；憶測,
649,honor,光栄；名誉；敬意,
664,habitat,生息地；（人の）居住地,
667,harvest,収穫（物）；収穫期；漁獲高,
743,heritage,遺産,
754,haven,避難所，保護区；港,
855,humor,ユーモア；気分，機嫌；気質,
894,harsh,厳しい；不快な,
933,hesitate,躊躇する，ためらう,
1012,heal,（人・傷など）を治す；治る,
1019,highlight,を目立たせる，強調する,
1193,hybrid,ハイブリッドの；雑種の；混成の,
1253,herd,（牛などの）群れ；群衆,
1276,hierarchy,（社会の）階層制；支配層,
1294,humble,謙虚な；質素な；身分が低い,
1354,horror,恐怖；強い嫌悪；嫌な物,
1357,hive,ミツバチの巣（箱）；人の集まる所,
1395,hostile,敵意のある,
1441,headline,（新聞などの）見出し,
1506,halt,を止める；止まる,
1573,hospitality,親切なもてなし，歓待；受容性,
1577,hygiene,衛生（状態）；健康法,
1590,hollow,空洞の；空虚な；うわべだけの,
1709,hinder,を妨げる,
1734,haunt,（記憶・考えなどが）につきまとう；によく行く,
1749,hazard,危険（要素）；偶然,
1876,harassment,嫌がらせ，ハラスメント,
1877,hay,干し草,
1879,holistic,全体論の；（医療が）ホリスティックの,
1890,humid,湿気のある,
